"지역별(1)","지역별(2)",지역별(3),상품군별(1),상품군별(2),2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4 p)
"유럽","유럽연합+영국",소계,화장품,소계,4275,3960,3486,5297,5699,5063,5614,9073,10469,8848,8344,12979,12996,10178,8091,11963,11863,9358,8815,11442,11880,11558,11182,13227,13938,10286,11834,14665,15479,12563,10921,16095,16460,12757,13222,13659,
"유럽","유럽연합+영국",소계,아동·유아용품,소계,281,266,365,355,529,763,602,708,591,995,656,803,616,927,569,694,649,657,652,732,714,913,1189,1303,1679,1591,1710,1708,2258,1737,1586,2018,1949,1541,1578,1326,
"유럽","유럽연합+영국",소계,음·식료품,소계,9388,10210,11597,14268,15793,14101,13442,15025,16855,18081,18669,23140,23743,20490,20014,17871,21642,20976,22195,26062,29852,32171,30932,34781,37155,32978,34353,35545,35960,35299,37282,42988,42387,42224,39908,42562,
"유럽","유럽연합+영국",소계,농축수산물,소계,3,4,3,2,4,5,4,5,5,5,3,13,23,19,10,26,30,25,6,17,21,12,10,15,18,11,6,16,25,20,13,29,7,9,8,14,
"유럽","유럽연합+영국",소계,생활·자동차용품,소계,2671,2436,2303,3463,3560,3470,3858,4399,5145,5244,5598,7831,7040,6435,7689,7745,8012,6806,7106,7719,8418,7669,8333,8770,10175,9447,10333,12048,14081,12718,12233,14792,14662,12818,12031,12393,
"유럽","유럽연합+영국",소계,기 타,소계,1913,1866,2441,2907,3981,4361,3998,3656,3760,4360,4546,5179,6551,6864,6637,6803,7166,7186,6986,8181,8438,8309,8398,9179,11094,10433,11015,13511,13840,14710,13133,18335,14990,15964,15367,16065,
"유럽","유럽연합+영국",유럽연합,합계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196351
"유럽","유럽연합+영국",유럽연합,컴퓨터 및 주변기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,가전·전자·통신기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,소프트웨어,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,서 적,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,사무·문구,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,음반·비디오·악기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,의류 및 패션 관련 상품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,스포츠·레저용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,화장품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,아동·유아용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,음·식료품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,농축수산물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,생활·자동차용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",유럽연합,기 타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,합계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63992
"유럽","유럽연합+영국",영국,컴퓨터 및 주변기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,가전·전자·통신기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,소프트웨어,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,서 적,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,사무·문구,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,음반·비디오·악기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,의류 및 패션 관련 상품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,스포츠·레저용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,화장품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,아동·유아용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,음·식료품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,농축수산물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,생활·자동차용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","유럽연합+영국",영국,기 타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,합계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,927
"유럽","기타 유럽",소계,컴퓨터 및 주변기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,가전·전자·통신기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,소프트웨어,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,서 적,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,사무·문구,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,음반·비디오·악기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,의류 및 패션 관련 상품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,스포츠·레저용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,화장품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,아동·유아용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,음·식료품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,농축수산물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,생활·자동차용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"유럽","기타 유럽",소계,기 타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"대양주","소계",소계,합계,소계,2312,2456,2585,2374,2401,2584,3051,3526,3922,4330,4790,5808,6056,5943,7054,8753,10101,10857,12687,19575,20380,20770,20721,24206,24569,18810,22368,29836,30980,25296,24574,33605,30322,26161,25579,32658,28550
"대양주","소계",소계,컴퓨터 및 주변기기,소계,8,9,7,8,14,19,15,14,17,11,10,19,9,7,9,9,23,10,7,62,11,4,45,38,22,21,61,27,48,63,51,193,104,69,65,79,
"대양주","소계",소계,가전·전자·통신기기,소계,5,4,23,46,18,21,19,43,35,29,30,46,62,48,41,53,114,136,183,1019,815,628,524,652,694,755,684,587,953,1031,703,899,784,398,447,621,
"대양주","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"대양주","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"대양주","소계",소계,소프트웨어,소계,0,8,0,0,0,0,0,0,2,0,0,2,2,6,1,2,3,4,3,6,10,11,11,9,12,7,9,13,14,8,5,7,5,4,2,4,
"대양주","소계",소계,서 적,소계,8,5,9,10,10,11,27,25,20,43,87,24,10,16,17,28,34,21,22,42,20,25,16,22,28,29,29,33,32,29,19,68,53,30,75,92,
"대양주","소계",소계,사무·문구,소계,11,2,2,8,5,4,5,9,15,8,6,15,22,13,10,11,27,25,20,57,166,45,36,72,88,18,59,128,64,39,28,41,34,20,19,43,
"대양주","소계",소계,음반·비디오·악기,소계,3,2,0,3,2,50,4,1,0,1,0,0,19,20,2,2,6,2,1,15,2,15,2,3,1,3,7,4,9,6,3,5,5,4,9,6,
"대양주","소계",소계,의류 및 패션 관련 상품,소계,107,94,153,191,168,121,141,330,206,170,217,591,406,285,387,1499,910,708,860,3454,2040,1388,1403,3379,3147,1152,1528,6255,5001,1940,2010,8172,5111,2101,2442,9327,
"대양주","소계",소계,스포츠·레저용품,소계,5,2,3,3,8,14,13,9,8,23,18,35,21,15,12,17,21,24,27,110,58,36,43,61,51,32,46,86,71,70,72,192,228,256,145,89,
"대양주","소계",소계,화장품,소계,212,328,211,180,172,459,250,308,613,544,596,796,664,596,501,595,714,764,689,958,1060,1194,1150,1405,1307,975,1087,1308,1535,1428,1143,1364,1373,1267,1305,1429,
"대양주","소계",소계,아동·유아용품,소계,6,7,7,5,17,10,14,20,16,14,12,16,13,14,13,20,21,35,33,49,35,32,34,42,70,100,43,60,56,93,58,69,69,61,42,53,
"대양주","소계",소계,음·식료품,소계,1615,1663,1763,1568,1618,1560,2196,2400,2672,3016,3475,3750,4322,4380,5267,5778,7545,8423,10101,12583,14880,15902,16107,16976,17432,13986,16733,18673,20103,18367,18452,20242,20074,19826,19267,18888,
"대양주","소계",소계,농축수산물,소계,4,27,40,35,33,25,41,22,24,27,35,51,79,71,79,67,64,60,71,72,79,73,62,65,51,14,33,52,53,50,47,60,58,65,62,80,
"대양주","소계",소계,생활·자동차용품,소계,202,164,181,197,175,121,204,255,216,226,231,326,277,291,538,570,479,481,498,831,814,758,701,915,1002,686,812,1041,1097,947,973,1214,1312,1041,892,1078,
"대양주","소계",소계,기 타,소계,127,141,182,118,160,166,121,88,78,217,71,136,150,178,177,103,140,163,172,316,390,659,589,566,669,1029,1239,1570,1944,1226,1009,1076,1115,1016,809,867,
"중남미","소계",소계,합계,소계,5,17,11,12,6,13,7,26,17,38,262,190,37,46,29,38,35,39,45,47,39,47,61,64,60,40,91,50,53,77,69,91,102,88,63,84,265
"중남미","소계",소계,컴퓨터 및 주변기기,소계,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,1,0,1,3,
"중남미","소계",소계,가전·전자·통신기기,소계,0,0,2,0,0,0,1,2,1,,0,1,0,5,1,1,4,1,0,6,2,7,5,12,4,0,8,4,3,3,2,2,2,0,0,1,
"중남미","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"중남미","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"중남미","소계",소계,소프트웨어,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"중남미","소계",소계,서 적,소계,0,0,0,0,0,0,,0,,0,0,1,2,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,
"중남미","소계",소계,사무·문구,소계,0,0,,0,,,,0,,1,0,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,3,1,1,0,
"중남미","소계",소계,음반·비디오·악기,소계,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,3,1,8,0,2,1,2,0,2,4,0,0,0,1,1,
"중남미","소계",소계,의류 및 패션 관련 상품,소계,2,1,3,2,1,4,1,19,12,23,239,172,27,23,20,16,18,27,37,21,26,22,37,29,37,9,34,18,16,27,27,18,31,33,29,32,
"중남미","소계",소계,스포츠·레저용품,소계,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,2,3,1,0,3,4,1,3,6,1,3,0,0,
"중남미","소계",소계,화장품,소계,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,
"중남미","소계",소계,아동·유아용품,소계,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,
"중남미","소계",소계,음·식료품,소계,0,2,0,1,1,0,1,1,0,3,1,2,4,3,0,1,2,3,0,2,1,0,0,4,3,5,8,5,3,3,6,5,3,6,6,7,
"중남미","소계",소계,농축수산물,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"중남미","소계",소계,생활·자동차용품,소계,0,0,1,0,0,1,0,0,1,2,3,2,0,4,2,2,2,3,2,0,2,5,3,1,6,3,21,5,7,21,15,13,10,6,9,12,
"중남미","소계",소계,기 타,소계,2,12,2,6,4,5,2,4,0,6,16,3,5,9,4,7,4,3,2,16,2,4,12,7,4,12,16,13,18,17,9,46,45,37,12,23,
"아프리카","소계",소계,합계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181
"아프리카","소계",소계,컴퓨터 및 주변기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,가전·전자·통신기기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,소프트웨어,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,서 적,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,사무·문구,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,음반·비디오·악기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,의류 및 패션 관련 상품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,스포츠·레저용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,화장품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,아동·유아용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,음·식료품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,농축수산물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,생활·자동차용품,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"아프리카","소계",소계,기 타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"기타","소계",소계,합계,소계,612,608,518,794,891,1158,3268,2069,1609,2138,3669,3370,2971,3082,2764,3493,3528,3992,3752,6397,4810,5257,5330,8059,8400,8091,8809,12790,12928,12029,13383,17262,18790,15132,16006,15673,-
"기타","소계",소계,컴퓨터 및 주변기기,소계,8,6,16,18,17,4,16,29,13,20,9,14,25,13,22,17,26,11,7,60,19,23,30,36,14,20,43,48,53,43,34,45,46,49,36,48,-
"기타","소계",소계,가전·전자·통신기기,소계,29,22,24,79,56,97,23,34,34,31,43,93,55,69,61,65,57,87,88,147,96,110,53,81,156,115,72,123,123,149,92,102,131,79,141,165,-
"기타","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계",소계,소프트웨어,소계,12,23,13,20,8,12,7,8,4,2,4,4,3,4,4,5,3,1,2,3,1,4,2,2,4,4,2,9,13,4,11,19,10,2,4,8,-
"기타","소계",소계,서 적,소계,29,55,32,26,23,13,11,13,13,8,8,21,25,28,19,20,22,22,20,21,26,24,15,33,28,51,70,145,85,114,94,128,141,71,82,85,-
"기타","소계",소계,사무·문구,소계,5,4,3,8,7,5,4,5,2,1,2,4,6,9,6,7,7,4,5,10,6,5,7,8,5,16,12,13,16,14,22,20,14,16,26,27,-
"기타","소계",소계,음반·비디오·악기,소계,15,9,10,7,14,13,4,12,4,12,21,9,5,8,9,15,10,10,20,13,10,13,11,20,14,15,12,20,39,44,37,38,43,21,19,26,-
"기타","소계",소계,의류 및 패션 관련 상품,소계,160,180,191,332,300,452,2634,1317,740,1407,681,2014,1352,1708,1361,2324,1929,2324,2174,4405,2643,2827,2469,4953,3639,3821,4527,7490,6844,5896,7460,10162,11533,7455,8922,8576,-
"기타","소계",소계,스포츠·레저용품,소계,9,9,5,7,12,5,12,21,7,12,16,28,21,24,22,23,21,23,37,26,19,27,43,45,75,47,112,92,90,76,80,86,94,60,88,90,-
"기타","소계",소계,화장품,소계,18,16,8,10,101,52,40,239,229,98,41,90,81,58,45,65,66,42,40,100,90,54,39,78,137,73,110,179,233,199,156,272,306,236,228,472,-
"기타","소계",소계,아동·유아용품,소계,12,6,8,6,26,15,4,9,7,4,19,18,14,16,52,21,17,17,15,17,16,14,16,27,21,15,23,48,39,39,36,51,42,39,29,50,-
"기타","소계",소계,음·식료품,소계,77,112,108,135,123,231,392,187,376,341,357,897,1145,859,801,719,926,1054,1128,1248,1585,1756,2252,2446,3393,3155,3224,3838,4469,4460,4138,5241,5444,5702,5389,5376,-
"기타","소계",소계,농축수산물,소계,0,1,0,0,0,1,4,2,2,1,0,5,6,7,5,8,6,7,6,5,5,5,32,5,8,76,63,6,189,247,159,194,165,100,93,55,-
"기타","소계",소계,생활·자동차용품,소계,16,15,16,19,23,27,32,30,47,42,56,57,67,64,84,106,92,104,83,94,99,99,92,109,410,165,156,216,237,232,209,315,324,540,316,268,-
"기타","소계",소계,기 타,소계,222,150,85,125,182,229,87,163,129,160,2413,116,168,215,270,101,345,287,127,248,192,298,271,216,494,517,384,563,499,511,855,589,493,763,633,429,-
